Id,Time[ns],0:UART: RX/TX
0,54414000.00000000000000000000,[FF]
1,312890000.00000000000000000000,[0D]
2,312974000.00000000000000000000,[8A]
3,313057000.00000000000000000000,[0D]
4,313140000.00000000000000000000,[0A]
5,313223000.00000000000000000000,U
6,313306000.00000000000000000000,-
7,313389000.00000000000000000000,B
8,313473000.00000000000000000000,o
9,313556000.00000000000000000000,o
10,313639000.00000000000000000000,t
11,313722000.00000000000000000000, 
12,313805000.00000000000000000000,1
13,313889000.00000000000000000000,.
14,313972000.00000000000000000000,1
15,314055000.00000000000000000000,.
16,314138000.00000000000000000000,4
17,314221000.00000000000000000000, 
18,314305000.00000000000000000000,(
19,314388000.00000000000000000000,M
20,314471000.00000000000000000000,a
21,314554000.00000000000000000000,r
22,314637000.00000000000000000000, 
23,314721000.00000000000000000000,1
24,314804000.00000000000000000000,0
25,314887000.00000000000000000000, 
26,314970000.00000000000000000000,2
27,315053000.00000000000000000000,0
28,315137000.00000000000000000000,1
29,315220000.00000000000000000000,5
30,315303000.00000000000000000000, 
31,315386000.00000000000000000000,-
32,315469000.00000000000000000000, 
33,315553000.00000000000000000000,1
34,315636000.00000000000000000000,5
35,315719000.00000000000000000000,:
36,315802000.00000000000000000000,0
37,315885000.00000000000000000000,0
38,315969000.00000000000000000000,[BA]
39,316052000.00000000000000000000,3
40,316135000.00000000000000000000,4
41,316218000.00000000000000000000,)
42,316301000.00000000000000000000,[0D]
43,316385000.00000000000000000000,[8A]
44,316468000.00000000000000000000,[0D]
45,316551000.00000000000000000000,[0A]
46,316634000.00000000000000000000,a
47,316717000.00000000000000000000,p
48,316801000.00000000000000000000,[B1]
49,316884000.00000000000000000000,4
50,316967000.00000000000000000000,3
51,317050000.00000000000000000000,-
52,317133000.00000000000000000000,2
53,317217000.00000000000000000000,[AE]
54,317300000.00000000000000000000,0
55,317383000.00000000000000000000, 
56,317466000.00000000000000000000,-
57,317549000.00000000000000000000, 
58,317633000.00000000000000000000,[C8]
59,317716000.00000000000000000000,o
60,317799000.00000000000000000000,n
61,317882000.00000000000000000000,e
62,317965000.00000000000000000000,y
63,318049000.00000000000000000000,[A0]
64,318132000.00000000000000000000,B
65,318215000.00000000000000000000,e
66,318298000.00000000000000000000,e
67,318381000.00000000000000000000, 
68,318465000.00000000000000000000,[B2]
69,318548000.00000000000000000000,.
70,318631000.00000000000000000000,0
71,318714000.00000000000000000000,[0D]
72,318797000.00000000000000000000,[0A]
73,318881000.00000000000000000000,[8D]
74,318964000.00000000000000000000,[0A]
75,319047000.00000000000000000000,D
76,319130000.00000000000000000000,R
77,319213000.00000000000000000000,A
78,319297000.00000000000000000000,[CD]
79,319380000.00000000000000000000,:
80,319463000.00000000000000000000, 
81,319546000.00000000000000000000, 
82,319629000.00000000000000000000,3
83,319712000.00000000000000000000,2
84,319796000.00000000000000000000, 
85,319879000.00000000000000000000,M
86,319962000.00000000000000000000,B
87,320045000.00000000000000000000,[0D]
88,320128000.00000000000000000000,[0A]
89,321410000.00000000000000000000,F
90,321493000.00000000000000000000,l
91,321576000.00000000000000000000,a
92,321659000.00000000000000000000,s
93,321743000.00000000000000000000,[E8]
94,321826000.00000000000000000000, 
95,321909000.00000000000000000000,M
96,321992000.00000000000000000000,a
97,322075000.00000000000000000000,n
98,322158000.00000000000000000000,u
99,322242000.00000000000000000000,f
100,322325000.00000000000000000000, 
101,322408000.00000000000000000000,I
102,322491000.00000000000000000000,d
103,322574000.00000000000000000000, 
104,322658000.00000000000000000000,0
105,322741000.00000000000000000000,x
106,322824000.00000000000000000000,c
107,322907000.00000000000000000000,8
108,322990000.00000000000000000000,,
109,323074000.00000000000000000000, 
110,323157000.00000000000000000000,D
111,323240000.00000000000000000000,e
112,323323000.00000000000000000000,v
113,323406000.00000000000000000000,i
114,323490000.00000000000000000000,c
115,323573000.00000000000000000000,e
116,323656000.00000000000000000000,I
117,323739000.00000000000000000000,d
118,323822000.00000000000000000000,0
119,323906000.00000000000000000000, 
120,323989000.00000000000000000000,0
121,324072000.00000000000000000000,x
122,324155000.00000000000000000000,4
123,324238000.00000000000000000000,0
124,324322000.00000000000000000000,[AC]
125,324405000.00000000000000000000, 
126,324488000.00000000000000000000,D
127,324571000.00000000000000000000,e
128,324654000.00000000000000000000,v
129,324738000.00000000000000000000,[E9]
130,324821000.00000000000000000000,c
131,324904000.00000000000000000000,e
132,324987000.00000000000000000000,I
133,325070000.00000000000000000000,d
134,325154000.00000000000000000000,[B1]
135,325237000.00000000000000000000, 
136,325320000.00000000000000000000,0
137,325403000.00000000000000000000,x
138,325486000.00000000000000000000,1
139,325570000.00000000000000000000,[B6]
140,325653000.00000000000000000000,[0D]
141,325736000.00000000000000000000,[0A]
142,325819000.00000000000000000000,f
143,325902000.00000000000000000000,l
144,325986000.00000000000000000000,[E1]
145,326069000.00000000000000000000,s
146,326152000.00000000000000000000,h
147,326235000.00000000000000000000, 
148,326318000.00000000000000000000,s
149,326402000.00000000000000000000,[E9]
150,326485000.00000000000000000000,z
151,326568000.00000000000000000000,e
152,326651000.00000000000000000000, 
153,326734000.00000000000000000000,4
154,326818000.00000000000000000000,[CD]
155,326901000.00000000000000000000,B
156,326984000.00000000000000000000,,
157,327067000.00000000000000000000, 
158,327150000.00000000000000000000,s
159,327234000.00000000000000000000,[E5]
160,327317000.00000000000000000000,c
161,327400000.00000000000000000000,t
162,327483000.00000000000000000000,o
163,327566000.00000000000000000000,r
164,327650000.00000000000000000000,[A0]
165,327733000.00000000000000000000,c
166,327816000.00000000000000000000,o
167,327899000.00000000000000000000,u
168,327982000.00000000000000000000,n
169,328065000.00000000000000000000,t
170,328149000.00000000000000000000, 
171,328232000.00000000000000000000,=
172,328315000.00000000000000000000, 
173,328398000.00000000000000000000,6
174,328481000.00000000000000000000,4
175,328565000.00000000000000000000,[0D]
176,328648000.00000000000000000000,[0A]
177,328731000.00000000000000000000,F
178,328814000.00000000000000000000,l
179,328897000.00000000000000000000,a
180,328981000.00000000000000000000,s
181,329064000.00000000000000000000,h
182,329147000.00000000000000000000,:
183,329230000.00000000000000000000, 
184,329313000.00000000000000000000, 
185,329397000.00000000000000000000,4
186,329480000.00000000000000000000, 
187,329563000.00000000000000000000,M
188,329646000.00000000000000000000,B
189,329729000.00000000000000000000,[0D]
190,329813000.00000000000000000000,[0A]
191,331269000.00000000000000000000,[D5]
192,331352000.00000000000000000000,s
193,331435000.00000000000000000000,i
194,331518000.00000000000000000000,n
195,331601000.00000000000000000000,g
196,331685000.00000000000000000000,[A0]
197,331768000.00000000000000000000,d
198,331851000.00000000000000000000,e
199,331934000.00000000000000000000,f
200,332017000.00000000000000000000,a
201,332101000.00000000000000000000,[F5]
202,332184000.00000000000000000000,l
203,332267000.00000000000000000000,t
204,332350000.00000000000000000000, 
205,332433000.00000000000000000000,e
206,332517000.00000000000000000000,[EE]
207,332600000.00000000000000000000,v
208,332683000.00000000000000000000,i
209,332766000.00000000000000000000,r
210,332849000.00000000000000000000,o
211,332933000.00000000000000000000,[EE]
212,333016000.00000000000000000000,m
213,333099000.00000000000000000000,e
214,333182000.00000000000000000000,n
215,333265000.00000000000000000000,t
216,333349000.00000000000000000000,[8D]
217,333432000.00000000000000000000,[0A]
218,333515000.00000000000000000000,[0D]
219,333598000.00000000000000000000,[0A]
220,335270000.00000000000000000000,I
221,335354000.00000000000000000000,[EE]
222,335437000.00000000000000000000,:
223,335520000.00000000000000000000, 
224,335603000.00000000000000000000, 
225,335686000.00000000000000000000, 
226,335770000.00000000000000000000,[A0]
227,335853000.00000000000000000000,s
228,335936000.00000000000000000000,e
229,336019000.00000000000000000000,r
230,336102000.00000000000000000000,i
231,336186000.00000000000000000000,[E1]
232,336269000.00000000000000000000,l
233,336352000.00000000000000000000,[0D]
234,336435000.00000000000000000000,[0A]
235,336518000.00000000000000000000,O
236,336602000.00000000000000000000,[F5]
237,336685000.00000000000000000000,t
238,336768000.00000000000000000000,:
239,336851000.00000000000000000000, 
240,336934000.00000000000000000000, 
241,337018000.00000000000000000000,[A0]
242,337101000.00000000000000000000,s
243,337184000.00000000000000000000,e
244,337267000.00000000000000000000,r
245,337350000.00000000000000000000,i
246,337433000.00000000000000000000,a
247,337517000.00000000000000000000,l
248,337600000.00000000000000000000,[0D]
